Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00102192760498569,-0.00148626085322701,0.0402627373215652,0,0,0,230.035695590994,12.9785598546642,-0.000983641978748152,7.27080049814007E-05,12.9906279440323,1.89912496971786E-05,12.9915743082057,0,0,0,0,0,0,package://wheel_legged_v4/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://wheel_legged_v4/meshes/base_link.STL,,底盘-1;步兵云台26式B型1.0-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_thigh_link,-0.0912393317734997,0.0449030508474739,0.00128508276358574,0,0,0,0.295216930314364,0.000453805880684143,0.000608508061989454,3.15602141987841E-06,0.00127259046030419,5.37800241585355E-07,0.00170986748305261,0,0,0,0,0,0,package://wheel_legged_v4/meshes/left_thigh_link.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://wheel_legged_v4/meshes/left_thigh_link.STL,,机加件-大腿工件-1,left_thigh_link,axis_left_thigh_link,left_thigh_joint,continuous,0,0.162500000000001,0.115879159638825,-1.5707963267949,0,0,base_link,0,0,1,30,1000,-3.14,3.14,,,,,,,,
left_leg_link,0.0884837008416059,0.0509038108761264,-0.000357531276701017,0,0,0,0.275645352077111,0.00081534920334255,-0.00117823598994903,5.28658191396947E-06,0.0019459499175825,3.3205476830337E-06,0.0027507043848332,0,0,0,0,0,0,package://wheel_legged_v4/meshes/left_leg_link.STL,1,1,1,1,0,0,0,0,0,0,package://wheel_legged_v4/meshes/left_leg_link.STL,,小腿-碳纤维-1,left_leg_link,axis_left_leg_link,left_leg_joint,revolute,-0.18482,0.099701,0.018,0,0,0,left_thigh_link,0,0,-1,30,1000,-1,0.65,,,,,,,,
left_wheel_link,0.000221308866509284,0.00013072878081713,0.0114961641321238,0,0,0,0.246256691295884,0.000275589416363681,5.25597901392237E-07,2.68346568155654E-07,0.000275018727287302,1.61870216981827E-07,0.0005362576079523,0,0,0,0,0,0,package://wheel_legged_v4/meshes/left_wheel_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://wheel_legged_v4/meshes/left_wheel_link.STL,,新轮毂-1,left_wheel_link,axis_left_wheel_link,left_wheel_joint,continuous,0.21482,0.12787,0.022043,0,0,0,left_leg_link,0,0,1,5,1000,,,,,,,,,,
right_thigh_link,-0.0960074718954511,-0.0335181290965019,0.00128508276358574,0,0,0,0.295216930314364,0.000319462528195958,-0.000492174420055133,3.06761527291115E-06,0.00140693381279236,-9.1620785851256E-07,0.0017098674830526,0,0,0,0,0,0,package://wheel_legged_v4/meshes/right_thigh_link.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://wheel_legged_v4/meshes/right_thigh_link.STL,,机加件-大腿工件镜向-1,right_thigh_link,axis_right_thigh_link,right_thigh_joint,continuous,0,-0.1625,0.11588,1.5708,0,0,base_link,0,0,1,30,1000,-3.14,3.14,,,,,,,,
right_leg_link,0.0892623117603636,-0.0495257809179714,-0.000357531276701462,0,0,0,0.275645352077112,0.000779089052213899,0.00116014201574066,5.33743045669064E-06,0.00198221006871116,-3.23818179978294E-06,0.00275070438483321,0,0,0,0,0,0,package://wheel_legged_v4/meshes/right_leg_link.STL,1,1,1,1,0,0,0,0,0,0,package://wheel_legged_v4/meshes/right_leg_link.STL,,小腿-碳纤维镜向-1,right_leg_link,axis_right_leg_link,right_leg_joint,revolute,-0.19554,-0.076574,0.018,0,0,0,right_thigh_link,0,0,-1,30,1000,-0.5,1.05,,,,,,,,
right_wheel_link,-0.000256898997006955,-8.39844429206815E-06,0.0114961641321237,0,0,0,0.246256691295882,0.000275900595701001,4.28243548637513E-08,-3.13112640306546E-07,0.000274707547949981,-1.31271575843892E-08,0.000536257607952298,0,0,0,0,0,0,package://wheel_legged_v4/meshes/right_wheel_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://wheel_legged_v4/meshes/right_wheel_link.STL,,新轮毂-2,right_wheel_link,axis_right_wheel_link,right_wheel_joint,continuous,0.21678,-0.12453,0.022043,0,0,0,right_leg_link,0,0,1,5,1000,,,,,,,,,,
